Country,Food,Year,Export
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2007,5
American Samoa,"Animal,vegetable fats and oils, cleavage products, et",2010,0
American Samoa,"Beverages, spirits and vinegar",2000,105
American Samoa,"Beverages, spirits and vinegar",2001,55
American Samoa,"Beverages, spirits and vinegar",2002,25
American Samoa,"Beverages, spirits and vinegar",2003,60
American Samoa,"Beverages, spirits and vinegar",2004,119
American Samoa,"Beverages, spirits and vinegar",2005,75
American Samoa,"Beverages, spirits and vinegar",2006,195
American Samoa,"Beverages, spirits and vinegar",2007,34
American Samoa,"Beverages, spirits and vinegar",2008,350
American Samoa,"Beverages, spirits and vinegar",2010,30
American Samoa,"Beverages, spirits and vinegar",2011,20
American Samoa,"Beverages, spirits and vinegar",2012,10
American Samoa,"Beverages, spirits and vinegar",2013,110
American Samoa,"Beverages, spirits and vinegar",2014,0
American Samoa,"Beverages, spirits and vinegar",2015,40
American Samoa,"Beverages, spirits and vinegar",2016,20
American Samoa,"Beverages, spirits and vinegar",2017,25
American Samoa,"Beverages, spirits and vinegar",2018,120
American Samoa,"Cereal, flour, starch, milk preparations and products",2002,0
American Samoa,"Cereal, flour, starch, milk preparations and products",2003,85
American Samoa,"Cereal, flour, starch, milk preparations and products",2004,10
American Samoa,"Cereal, flour, starch, milk preparations and products",2005,5
American Samoa,"Cereal, flour, starch, milk preparations and products",2006,60
American Samoa,"Cereal, flour, starch, milk preparations and products",2007,62
American Samoa,"Cereal, flour, starch, milk preparations and products",2008,0
American Samoa,"Cereal, flour, starch, milk preparations and products",2009,15
American Samoa,"Cereal, flour, starch, milk preparations and products",2010,20
American Samoa,"Cereal, flour, starch, milk preparations and products",2011,34
American Samoa,"Cereal, flour, starch, milk preparations and products",2013,35
American Samoa,"Cereal, flour, starch, milk preparations and products",2014,10
American Samoa,"Cereal, flour, starch, milk preparations and products",2015,20
American Samoa,"Cereal, flour, starch, milk preparations and products",2016,5
American Samoa,"Cereal, flour, starch, milk preparations and products",2017,65
American Samoa,"Cereal, flour, starch, milk preparations and products",2018,75
American Samoa,Cereals,2002,75
American Samoa,Cereals,2007,95
American Samoa,Cereals,2010,10
American Samoa,Cocoa and cocoa preparations,2003,0
American Samoa,Cocoa and cocoa preparations,2004,0
American Samoa,Cocoa and cocoa preparations,2005,0
American Samoa,Cocoa and cocoa preparations,2011,0
American Samoa,Cocoa and cocoa preparations,2013,0
American Samoa,Cocoa and cocoa preparations,2014,0
American Samoa,Cocoa and cocoa preparations,2015,0
American Samoa,Cocoa and cocoa preparations,2016,0
American Samoa,Cocoa and cocoa preparations,2017,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2003,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2004,20
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2005,64
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2006,34
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2007,10
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2010,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2011,5
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2013,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2017,0
American Samoa,"Dairy products, eggs, honey, edible animal product nes",2018,5
American Samoa,"Edible fruit, nuts, peel of citrus fruit, melons",2002,0
American Samoa,Edible vegetables and certain roots and tubers,2006,70
American Samoa,Edible vegetables and certain roots and tubers,2011,0
American Samoa,Edible vegetables and certain roots and tubers,2012,10
American Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2004,70
American Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2005,100
American Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2010,5
American Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2014,0
American Samoa,Meat and edible meat offal,2002,5
American Samoa,Meat and edible meat offal,2003,30
American Samoa,Meat and edible meat offal,2004,220
American Samoa,Meat and edible meat offal,2005,354
American Samoa,Meat and edible meat offal,2006,0
American Samoa,Meat and edible meat offal,2007,5
American Samoa,Meat and edible meat offal,2010,60
American Samoa,Meat and edible meat offal,2011,0
American Samoa,Meat and edible meat offal,2013,80
American Samoa,Meat and edible meat offal,2014,0
American Samoa,Meat and edible meat offal,2015,0
American Samoa,Meat and edible meat offal,2016,0
American Samoa,Meat and edible meat offal,2017,35
American Samoa,Meat and edible meat offal,2018,235
American Samoa,"Meat, fish and seafood food preparations nes",2000,125
American Samoa,"Meat, fish and seafood food preparations nes",2002,10
American Samoa,"Meat, fish and seafood food preparations nes",2003,40
American Samoa,"Meat, fish and seafood food preparations nes",2004,38
American Samoa,"Meat, fish and seafood food preparations nes",2005,29
American Samoa,"Meat, fish and seafood food preparations nes",2006,5
American Samoa,"Meat, fish and seafood food preparations nes",2007,0
American Samoa,"Meat, fish and seafood food preparations nes",2010,5
American Samoa,"Meat, fish and seafood food preparations nes",2011,4
American Samoa,"Meat, fish and seafood food preparations nes",2013,0
American Samoa,"Meat, fish and seafood food preparations nes",2014,45
American Samoa,"Meat, fish and seafood food preparations nes",2015,50
American Samoa,"Meat, fish and seafood food preparations nes",2016,40
American Samoa,"Meat, fish and seafood food preparations nes",2017,135
American Samoa,"Meat, fish and seafood food preparations nes",2018,30
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2006,30
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2007,200
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2009,115
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2010,15
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2011,0
American Samoa,"Milling products, malt, starches, inulin, wheat glute",2015,0
American Samoa,Miscellaneous edible preparations,2003,23
American Samoa,Miscellaneous edible preparations,2004,50
American Samoa,Miscellaneous edible preparations,2005,15
American Samoa,Miscellaneous edible preparations,2006,15
American Samoa,Miscellaneous edible preparations,2007,5
American Samoa,Miscellaneous edible preparations,2009,0
American Samoa,Miscellaneous edible preparations,2010,3
American Samoa,Miscellaneous edible preparations,2011,10
American Samoa,Miscellaneous edible preparations,2012,0
American Samoa,Miscellaneous edible preparations,2013,5
American Samoa,Miscellaneous edible preparations,2014,0
American Samoa,Miscellaneous edible preparations,2015,0
American Samoa,Miscellaneous edible preparations,2016,5
American Samoa,Miscellaneous edible preparations,2017,0
American Samoa,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2000,5
American Samoa,Sugars and sugar confectionery,2000,0
American Samoa,Sugars and sugar confectionery,2003,0
American Samoa,Sugars and sugar confectionery,2006,4
American Samoa,Sugars and sugar confectionery,2007,50
American Samoa,Sugars and sugar confectionery,2011,14
American Samoa,Sugars and sugar confectionery,2013,0
American Samoa,Sugars and sugar confectionery,2014,0
American Samoa,Sugars and sugar confectionery,2015,10
American Samoa,Sugars and sugar confectionery,2016,0
American Samoa,Sugars and sugar confectionery,2017,0
American Samoa,Sugars and sugar confectionery,2018,15
American Samoa,Tobacco and manufactured tobacco substitutes,2000,0
American Samoa,"Vegetable, fruit, nut, etc food preparations",2006,5
American Samoa,"Vegetable, fruit, nut, etc food preparations",2007,80
American Samoa,"Vegetable, fruit, nut, etc food preparations",2011,15
American Samoa,"Vegetable, fruit, nut, etc food preparations",2013,0
American Samoa,"Vegetable, fruit, nut, etc food preparations",2018,0
Australia,"Animal,vegetable fats and oils, cleavage products, et",1995,47090
Australia,"Animal,vegetable fats and oils, cleavage products, et",1996,42085
Australia,"Animal,vegetable fats and oils, cleavage products, et",1997,31378
Australia,"Animal,vegetable fats and oils, cleavage products, et",1998,38226
Australia,"Animal,vegetable fats and oils, cleavage products, et",1999,30586
Australia,"Animal,vegetable fats and oils, cleavage products, et",2000,31243
Australia,"Animal,vegetable fats and oils, cleavage products, et",2001,31762
Australia,"Animal,vegetable fats and oils, cleavage products, et",2002,45436
Australia,"Animal,vegetable fats and oils, cleavage products, et",2003,46949
Australia,"Animal,vegetable fats and oils, cleavage products, et",2004,55964
Australia,"Animal,vegetable fats and oils, cleavage products, et",2005,54487
Australia,"Animal,vegetable fats and oils, cleavage products, et",2006,37693
Australia,"Animal,vegetable fats and oils, cleavage products, et",2007,43818
Australia,"Animal,vegetable fats and oils, cleavage products, et",2008,62170
Australia,"Animal,vegetable fats and oils, cleavage products, et",2009,43620
Australia,"Animal,vegetable fats and oils, cleavage products, et",2010,36048
Australia,"Animal,vegetable fats and oils, cleavage products, et",2011,39288
Australia,"Animal,vegetable fats and oils, cleavage products, et",2012,61262
Australia,"Animal,vegetable fats and oils, cleavage products, et",2013,40329
Australia,"Animal,vegetable fats and oils, cleavage products, et",2014,38744
Australia,"Animal,vegetable fats and oils, cleavage products, et",2015,36829
Australia,"Animal,vegetable fats and oils, cleavage products, et",2016,35582
Australia,"Animal,vegetable fats and oils, cleavage products, et",2017,45099
Australia,"Animal,vegetable fats and oils, cleavage products, et",2018,53546
Australia,"Beverages, spirits and vinegar",1995,65082
Australia,"Beverages, spirits and vinegar",1996,63135
Australia,"Beverages, spirits and vinegar",1997,63611
Australia,"Beverages, spirits and vinegar",1998,54617
Australia,"Beverages, spirits and vinegar",1999,59131
Australia,"Beverages, spirits and vinegar",2000,56285
Australia,"Beverages, spirits and vinegar",2001,67309
Australia,"Beverages, spirits and vinegar",2002,51453
Australia,"Beverages, spirits and vinegar",2003,51540
Australia,"Beverages, spirits and vinegar",2004,51860
Australia,"Beverages, spirits and vinegar",2005,52613
Australia,"Beverages, spirits and vinegar",2006,59541
Australia,"Beverages, spirits and vinegar",2007,51723
Australia,"Beverages, spirits and vinegar",2008,49904
Australia,"Beverages, spirits and vinegar",2009,49497
Australia,"Beverages, spirits and vinegar",2010,55086
Australia,"Beverages, spirits and vinegar",2011,61818
Australia,"Beverages, spirits and vinegar",2012,47201
Australia,"Beverages, spirits and vinegar",2013,49410
Australia,"Beverages, spirits and vinegar",2014,55902
Australia,"Beverages, spirits and vinegar",2015,60995
Australia,"Beverages, spirits and vinegar",2016,115136
Australia,"Beverages, spirits and vinegar",2017,72715
Australia,"Beverages, spirits and vinegar",2018,38223
Australia,"Cereal, flour, starch, milk preparations and products",1995,35834
Australia,"Cereal, flour, starch, milk preparations and products",1996,36514
Australia,"Cereal, flour, starch, milk preparations and products",1997,41792
Australia,"Cereal, flour, starch, milk preparations and products",1998,39931
Australia,"Cereal, flour, starch, milk preparations and products",1999,37345
Australia,"Cereal, flour, starch, milk preparations and products",2000,34657
Australia,"Cereal, flour, starch, milk preparations and products",2001,35037
Australia,"Cereal, flour, starch, milk preparations and products",2002,38237
Australia,"Cereal, flour, starch, milk preparations and products",2003,37533
Australia,"Cereal, flour, starch, milk preparations and products",2004,36877
Australia,"Cereal, flour, starch, milk preparations and products",2005,32668
Australia,"Cereal, flour, starch, milk preparations and products",2006,38332
Australia,"Cereal, flour, starch, milk preparations and products",2007,37208
Australia,"Cereal, flour, starch, milk preparations and products",2008,35944
Australia,"Cereal, flour, starch, milk preparations and products",2009,36416
Australia,"Cereal, flour, starch, milk preparations and products",2010,39780
Australia,"Cereal, flour, starch, milk preparations and products",2011,44877
Australia,"Cereal, flour, starch, milk preparations and products",2012,41531
Australia,"Cereal, flour, starch, milk preparations and products",2013,40581
Australia,"Cereal, flour, starch, milk preparations and products",2014,44668
Australia,"Cereal, flour, starch, milk preparations and products",2015,41761
Australia,"Cereal, flour, starch, milk preparations and products",2016,46162
Australia,"Cereal, flour, starch, milk preparations and products",2017,43839
Australia,"Cereal, flour, starch, milk preparations and products",2018,47565
Australia,Cereals,1995,952039
Australia,Cereals,1996,1008951
Australia,Cereals,1997,1152771
Australia,Cereals,1998,1196190
Australia,Cereals,1999,1383697
Australia,Cereals,2000,1388671
Australia,Cereals,2001,1297262
Australia,Cereals,2002,1360078
Australia,Cereals,2003,1549635
Australia,Cereals,2004,1477667
Australia,Cereals,2005,1720926
Australia,Cereals,2006,1745828
Australia,Cereals,2007,1806819
Australia,Cereals,2008,1668030
Australia,Cereals,2009,1658145
Australia,Cereals,2010,2020948
Australia,Cereals,2011,2104331
Australia,Cereals,2012,2097223
Australia,Cereals,2013,2133964
Australia,Cereals,2014,2391226
Australia,Cereals,2015,2265976
Australia,Cereals,2016,2325960
Australia,Cereals,2017,2347716
Australia,Cereals,2018,2908393
Australia,Cocoa and cocoa preparations,1995,3827
Australia,Cocoa and cocoa preparations,1996,4183
Australia,Cocoa and cocoa preparations,1997,4327
Australia,Cocoa and cocoa preparations,1998,4124
Australia,Cocoa and cocoa preparations,1999,4848
Australia,Cocoa and cocoa preparations,2000,4652
Australia,Cocoa and cocoa preparations,2001,4553
Australia,Cocoa and cocoa preparations,2002,4903
Australia,Cocoa and cocoa preparations,2003,4293
Australia,Cocoa and cocoa preparations,2004,4559
Australia,Cocoa and cocoa preparations,2005,5260
Australia,Cocoa and cocoa preparations,2006,6243
Australia,Cocoa and cocoa preparations,2007,5788
Australia,Cocoa and cocoa preparations,2008,4695
Australia,Cocoa and cocoa preparations,2009,4013
Australia,Cocoa and cocoa preparations,2010,4712
Australia,Cocoa and cocoa preparations,2011,4005
Australia,Cocoa and cocoa preparations,2012,4925
Australia,Cocoa and cocoa preparations,2013,4289
Australia,Cocoa and cocoa preparations,2014,3488
Australia,Cocoa and cocoa preparations,2015,3923
Australia,Cocoa and cocoa preparations,2016,4162
Australia,Cocoa and cocoa preparations,2017,4859
Australia,Cocoa and cocoa preparations,2018,4608
Australia,"Coffee, tea, mate and spices",1995,2579
Australia,"Coffee, tea, mate and spices",1996,3218
Australia,"Coffee, tea, mate and spices",1997,3593
Australia,"Coffee, tea, mate and spices",1998,3810
Australia,"Coffee, tea, mate and spices",1999,5856
Australia,"Coffee, tea, mate and spices",2000,7188
Australia,"Coffee, tea, mate and spices",2001,4535
Australia,"Coffee, tea, mate and spices",2002,2436
Australia,"Coffee, tea, mate and spices",2003,2285
Australia,"Coffee, tea, mate and spices",2004,2804
Australia,"Coffee, tea, mate and spices",2005,2883
Australia,"Coffee, tea, mate and spices",2006,3223
Australia,"Coffee, tea, mate and spices",2007,2297
Australia,"Coffee, tea, mate and spices",2008,2617
Australia,"Coffee, tea, mate and spices",2009,2408
Australia,"Coffee, tea, mate and spices",2010,2039
Australia,"Coffee, tea, mate and spices",2011,2783
Australia,"Coffee, tea, mate and spices",2012,2025
Australia,"Coffee, tea, mate and spices",2013,2177
Australia,"Coffee, tea, mate and spices",2014,1761
Australia,"Coffee, tea, mate and spices",2015,2819
Australia,"Coffee, tea, mate and spices",2016,2203
Australia,"Coffee, tea, mate and spices",2017,2199
Australia,"Coffee, tea, mate and spices",2018,2793
Australia,"Dairy products, eggs, honey, edible animal product nes",1995,70007
Australia,"Dairy products, eggs, honey, edible animal product nes",1996,78836
Australia,"Dairy products, eggs, honey, edible animal product nes",1997,82217
Australia,"Dairy products, eggs, honey, edible animal product nes",1998,79734
Australia,"Dairy products, eggs, honey, edible animal product nes",1999,69324
Australia,"Dairy products, eggs, honey, edible animal product nes",2000,70647
Australia,"Dairy products, eggs, honey, edible animal product nes",2001,63562
Australia,"Dairy products, eggs, honey, edible animal product nes",2002,70758
Australia,"Dairy products, eggs, honey, edible animal product nes",2003,69903
Australia,"Dairy products, eggs, honey, edible animal product nes",2004,79975
Australia,"Dairy products, eggs, honey, edible animal product nes",2005,79108
Australia,"Dairy products, eggs, honey, edible animal product nes",2006,70892
Australia,"Dairy products, eggs, honey, edible animal product nes",2007,60847
Australia,"Dairy products, eggs, honey, edible animal product nes",2008,62566
Australia,"Dairy products, eggs, honey, edible animal product nes",2009,68073
Australia,"Dairy products, eggs, honey, edible animal product nes",2010,59702
Australia,"Dairy products, eggs, honey, edible animal product nes",2011,65728
Australia,"Dairy products, eggs, honey, edible animal product nes",2012,74832
Australia,"Dairy products, eggs, honey, edible animal product nes",2013,71949
Australia,"Dairy products, eggs, honey, edible animal product nes",2014,82423
Australia,"Dairy products, eggs, honey, edible animal product nes",2015,85937
Australia,"Dairy products, eggs, honey, edible animal product nes",2016,92035
Australia,"Dairy products, eggs, honey, edible animal product nes",2017,84845
Australia,"Dairy products, eggs, honey, edible animal product nes",2018,110458
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",1995,22155
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",1996,32044
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",1997,29811
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",1998,26682
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",1999,24558
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2000,27937
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2001,24802
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2002,24624
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2003,24440
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2004,22643
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2005,27144
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2006,22994
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2007,24023
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2008,27344
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2009,30668
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2010,22073
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2011,23564
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2012,34772
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2013,41019
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2014,35769
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2015,38764
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2016,42468
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2017,38170
Australia,"Edible fruit, nuts, peel of citrus fruit, melons",2018,54754
Australia,Edible vegetables and certain roots and tubers,1995,48980
Australia,Edible vegetables and certain roots and tubers,1996,39621
Australia,Edible vegetables and certain roots and tubers,1997,62665
Australia,Edible vegetables and certain roots and tubers,1998,68220
Australia,Edible vegetables and certain roots and tubers,1999,54661
Australia,Edible vegetables and certain roots and tubers,2000,52021
Australia,Edible vegetables and certain roots and tubers,2001,46382
Australia,Edible vegetables and certain roots and tubers,2002,49654
Australia,Edible vegetables and certain roots and tubers,2003,23148
Australia,Edible vegetables and certain roots and tubers,2004,29473
Australia,Edible vegetables and certain roots and tubers,2005,24837
Australia,Edible vegetables and certain roots and tubers,2006,45839
Australia,Edible vegetables and certain roots and tubers,2007,40429
Australia,Edible vegetables and certain roots and tubers,2008,45771
Australia,Edible vegetables and certain roots and tubers,2009,27564
Australia,Edible vegetables and certain roots and tubers,2010,38690
Australia,Edible vegetables and certain roots and tubers,2011,44531
Australia,Edible vegetables and certain roots and tubers,2012,45421
Australia,Edible vegetables and certain roots and tubers,2013,70459
Australia,Edible vegetables and certain roots and tubers,2014,47789
Australia,Edible vegetables and certain roots and tubers,2015,48337
Australia,Edible vegetables and certain roots and tubers,2016,47850
Australia,Edible vegetables and certain roots and tubers,2017,55647
Australia,Edible vegetables and certain roots and tubers,2018,68500
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1995,2385
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1996,2383
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1997,1882
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1998,2022
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",1999,1355
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2000,891
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2001,2331
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2002,1831
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2003,2105
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2004,3175
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2005,1725
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2006,2212
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2007,2049
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2008,1265
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2009,2246
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2010,1877
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2011,2227
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2012,2610
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2013,1818
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2014,2020
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2015,2271
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2016,3892
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2017,3754
Australia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018,3006
Australia,Meat and edible meat offal,1995,193714
Australia,Meat and edible meat offal,1996,225064
Australia,Meat and edible meat offal,1997,206318
Australia,Meat and edible meat offal,1998,180371
Australia,Meat and edible meat offal,1999,197168
Australia,Meat and edible meat offal,2000,206688
Australia,Meat and edible meat offal,2001,177097
Australia,Meat and edible meat offal,2002,178678
Australia,Meat and edible meat offal,2003,150999
Australia,Meat and edible meat offal,2004,161956
Australia,Meat and edible meat offal,2005,154598
Australia,Meat and edible meat offal,2006,159862
Australia,Meat and edible meat offal,2007,180172
Australia,Meat and edible meat offal,2008,185723
Australia,Meat and edible meat offal,2009,193077
Australia,Meat and edible meat offal,2010,196690
Australia,Meat and edible meat offal,2011,229542
Australia,Meat and edible meat offal,2012,288156
Australia,Meat and edible meat offal,2013,291779
Australia,Meat and edible meat offal,2014,292260
Australia,Meat and edible meat offal,2015,290060
Australia,Meat and edible meat offal,2016,312435
Australia,Meat and edible meat offal,2017,294962
Australia,Meat and edible meat offal,2018,253093
Australia,"Meat, fish and seafood food preparations nes",1995,10327
Australia,"Meat, fish and seafood food preparations nes",1996,11540
Australia,"Meat, fish and seafood food preparations nes",1997,10657
Australia,"Meat, fish and seafood food preparations nes",1998,10088
Australia,"Meat, fish and seafood food preparations nes",1999,9711
Australia,"Meat, fish and seafood food preparations nes",2000,10187
Australia,"Meat, fish and seafood food preparations nes",2001,10588
Australia,"Meat, fish and seafood food preparations nes",2002,9223
Australia,"Meat, fish and seafood food preparations nes",2003,9156
Australia,"Meat, fish and seafood food preparations nes",2004,8003
Australia,"Meat, fish and seafood food preparations nes",2005,8267
Australia,"Meat, fish and seafood food preparations nes",2006,7827
Australia,"Meat, fish and seafood food preparations nes",2007,7658
Australia,"Meat, fish and seafood food preparations nes",2008,6726
Australia,"Meat, fish and seafood food preparations nes",2009,8936
Australia,"Meat, fish and seafood food preparations nes",2010,14226
Australia,"Meat, fish and seafood food preparations nes",2011,17013
Australia,"Meat, fish and seafood food preparations nes",2012,21927
Australia,"Meat, fish and seafood food preparations nes",2013,21876
Australia,"Meat, fish and seafood food preparations nes",2014,21308
Australia,"Meat, fish and seafood food preparations nes",2015,13503
Australia,"Meat, fish and seafood food preparations nes",2016,12858
Australia,"Meat, fish and seafood food preparations nes",2017,16168
Australia,"Meat, fish and seafood food preparations nes",2018,13825
Australia,"Milling products, malt, starches, inulin, wheat glute",1995,111990
Australia,"Milling products, malt, starches, inulin, wheat glute",1996,184488
Australia,"Milling products, malt, starches, inulin, wheat glute",1997,181465
Australia,"Milling products, malt, starches, inulin, wheat glute",1998,224220
Australia,"Milling products, malt, starches, inulin, wheat glute",1999,206209
Australia,"Milling products, malt, starches, inulin, wheat glute",2000,174613
Australia,"Milling products, malt, starches, inulin, wheat glute",2001,174018
Australia,"Milling products, malt, starches, inulin, wheat glute",2002,216416
Australia,"Milling products, malt, starches, inulin, wheat glute",2003,157548
Australia,"Milling products, malt, starches, inulin, wheat glute",2004,153940
Australia,"Milling products, malt, starches, inulin, wheat glute",2005,144732
Australia,"Milling products, malt, starches, inulin, wheat glute",2006,115618
Australia,"Milling products, malt, starches, inulin, wheat glute",2007,133373
Australia,"Milling products, malt, starches, inulin, wheat glute",2008,128007
Australia,"Milling products, malt, starches, inulin, wheat glute",2009,133781
Australia,"Milling products, malt, starches, inulin, wheat glute",2010,151498
Australia,"Milling products, malt, starches, inulin, wheat glute",2011,170407
Australia,"Milling products, malt, starches, inulin, wheat glute",2012,156502
Australia,"Milling products, malt, starches, inulin, wheat glute",2013,130187
Australia,"Milling products, malt, starches, inulin, wheat glute",2014,143352
Australia,"Milling products, malt, starches, inulin, wheat glute",2015,107719
Australia,"Milling products, malt, starches, inulin, wheat glute",2016,69938
Australia,"Milling products, malt, starches, inulin, wheat glute",2017,73142
Australia,"Milling products, malt, starches, inulin, wheat glute",2018,104970
Australia,Miscellaneous edible preparations,1995,27302
Australia,Miscellaneous edible preparations,1996,26680
Australia,Miscellaneous edible preparations,1997,29461
Australia,Miscellaneous edible preparations,1998,28427
Australia,Miscellaneous edible preparations,1999,31521
Australia,Miscellaneous edible preparations,2000,28724
Australia,Miscellaneous edible preparations,2001,33336
Australia,Miscellaneous edible preparations,2002,27511
Australia,Miscellaneous edible preparations,2003,33731
Australia,Miscellaneous edible preparations,2004,32763
Australia,Miscellaneous edible preparations,2005,26624
Australia,Miscellaneous edible preparations,2006,32230
Australia,Miscellaneous edible preparations,2007,30663
Australia,Miscellaneous edible preparations,2008,31700
Australia,Miscellaneous edible preparations,2009,33893
Australia,Miscellaneous edible preparations,2010,31526
Australia,Miscellaneous edible preparations,2011,31252
Australia,Miscellaneous edible preparations,2012,30032
Australia,Miscellaneous edible preparations,2013,32711
Australia,Miscellaneous edible preparations,2014,42376
Australia,Miscellaneous edible preparations,2015,39611
Australia,Miscellaneous edible preparations,2016,41643
Australia,Miscellaneous edible preparations,2017,34183
Australia,Miscellaneous edible preparations,2018,31235
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1995,41573
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1996,29106
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1997,9776
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1998,11755
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1999,5881
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2000,15377
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2001,21491
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2002,30273
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2003,19473
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2004,52531
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2005,21362
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2006,18407
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2007,11209
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2008,5801
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2009,9701
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2010,11788
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2011,21664
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2012,6557
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2013,9187
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2014,6372
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2015,1889
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2016,14918
Australia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2017,33516
